Name,Score
"Ekwok, Alaska",Start
"Elim, Alaska",Stub
"Emmonak, Alaska",Stub
"Fairbanks, Alaska",Stub
"False Pass, Alaska",B
"Fort Yukon, Alaska",Start
"Galena, Alaska",Stub
"Gambell, Alaska",Stub
"Golovin, Alaska",Start
"Goodnews Bay, Alaska",Stub
"Grayling, Alaska",Stub
"Gustavus, Alaska",Stub
"Holy Cross, Alaska",Start
"Homer, Alaska",Stub
"Hoonah, Alaska",Start
"Hooper Bay, Alaska",Stub
"Houston, Alaska",Start
"Hughes, Alaska",B
"Huslia, Alaska",Start
"Hydaburg, Alaska",Start
"Kachemak, Alaska",Start
"Kake, Alaska",Stub
"Kaktovik, Alaska",Stub
"Kaltag, Alaska",Start
"Kasaan, Alaska",Start
"Kenai, Alaska",Stub
"Ketchikan, Alaska",Stub
"Kiana, Alaska",Stub
"King Cove, Alaska",Stub
"Kivalina, Alaska",Start
"Klawock, Alaska",B
"Kobuk, Alaska",Stub
"Kodiak, Alaska",Stub
"Kotlik, Alaska",Start
"Kotzebue, Alaska",Stub
"Koyuk, Alaska",Start
"Koyukuk, Alaska",Start
"Kupreanof, Alaska",Start
"Kwethluk, Alaska",Start
"Larsen Bay, Alaska",Stub
"Lower Kalskag, Alaska",Stub
"Marshall, Alaska",Stub
"McGrath, Alaska",Stub
"Mekoryuk, Alaska",Stub
"Mountain Village, Alaska",Stub
"Napakiak, Alaska",Start
"Napaskiak, Alaska",Start
"Nenana, Alaska",Start
"New Stuyahok, Alaska",Stub
"Newhalen, Alaska",Stub
"Nightmute, Alaska",Start
"Nikolai, Alaska",Stub
"Nome, Alaska",Stub
"Nondalton, Alaska",Stub
"Noorvik, Alaska",Start
"North Pole, Alaska",Stub
"Nuiqsut, Alaska",Stub
"Nulato, Alaska",Stub
"Nunam Iqua, Alaska",Stub
"Nunapitchuk, Alaska",Start
"Old Harbor, Alaska",Stub
"Ouzinkie, Alaska",Stub
"Palmer, Alaska",Stub
"Pilot Point, Alaska",Stub
"Pilot Station, Alaska",Stub
"Platinum, Alaska",Start
"Point Hope, Alaska",Stub
"Port Alexander, Alaska",Stub
"Port Heiden, Alaska",Stub
"Port Lions, Alaska",Stub
"Ruby, Alaska",Stub
"Russian Mission, Alaska",Start
"Saint Paul, Alaska",Start
"Sand Point, Alaska",Start
"Savoonga, Alaska",Stub
"Saxman, Alaska",B
"Scammon Bay, Alaska",Stub
"Selawik, Alaska",Start
"Seldovia, Alaska",Stub
"Seward, Alaska",Stub
"Shageluk, Alaska",Stub
"Shaktoolik, Alaska",Start
"Shishmaref, Alaska",Start
"Sitka, Alaska",Stub
"Soldotna, Alaska",Start
"St. Mary's, Alaska",Stub
"St. Michael, Alaska",Stub
"Stebbins, Alaska",Start
"Tanana, Alaska",Start
"Teller, Alaska",Stub
"Tenakee Springs, Alaska",Stub
"Thorne Bay, Alaska",Stub
"Togiak, Alaska",Stub
"Unalakleet, Alaska",Stub
"Unalaska, Alaska",Start
"Upper Kalskag, Alaska",Stub
Utqiaġvik,Stub
"Valdez, Alaska",Stub
"Wainwright, Alaska",Stub
"Wales, Alaska",Stub
"Wasilla, Alaska",Stub
"Whale Pass, Alaska",Stub
"White Mountain, Alaska",Start
"Whittier, Alaska",Stub
"Wrangell, Alaska",Stub
"Apache Junction, Arizona",Start
"Avondale, Arizona",Stub
"Benson, Arizona",Stub
"Bisbee, Arizona",Stub
"Buckeye, Arizona",Start
"Bullhead City, Arizona",Start
"Camp Verde, Arizona",Stub
"Carefree, Arizona",B
"Casa Grande, Arizona",Stub
"Cave Creek, Arizona",Stub
"Chandler, Arizona",Start
"Chino Valley, Arizona",Start
"Clarkdale, Arizona",Start
"Clifton, Arizona",Stub
"Colorado City, Arizona",Stub
"Coolidge, Arizona",Stub
"Cottonwood, Arizona",Stub
"Dewey-Humboldt, Arizona",Stub
"Douglas, Arizona",Start
"Duncan, Arizona",Stub
"Eagar, Arizona",Stub
"El Mirage, Arizona",Stub
"Eloy, Arizona",Stub
"Flagstaff, Arizona",Stub
"Florence, Arizona",Stub
"Fountain Hills, Arizona",Start
"Fredonia, Arizona",Stub
"Gila Bend, Arizona",Stub
"Gilbert, Arizona",Stub
"Glendale, Arizona",Stub
"Globe, Arizona",Stub
"Goodyear, Arizona",B
"Guadalupe, Arizona",Start
"Hayden, Arizona",Start
"Holbrook, Arizona",Start
"Huachuca City, Arizona",Start
"Jerome, Arizona",Stub
"Kearny, Arizona",Start
"Kingman, Arizona",Stub
"Lake Havasu City, Arizona",Start
"Litchfield Park, Arizona",Stub
"Mammoth, Arizona",Stub
"Maricopa, Arizona",B
"Mesa, Arizona",Stub
"Miami, Arizona",Stub
"Nogales, Arizona",Start
"Oro Valley, Arizona",Start
"Page, Arizona",Stub
"Paradise Valley, Arizona",Stub
"Parker, Arizona",Stub
"Patagonia, Arizona",Stub
"Payson, Arizona",Stub
"Peoria, Arizona",Stub
"Phoenix, Arizona",Start
"Pima, Arizona",Stub
"Pinetop-Lakeside, Arizona",Stub
"Prescott, Arizona",Stub
"Prescott Valley, Arizona",Stub
"Quartzsite, Arizona",Stub
"Queen Creek, Arizona",Stub
"Safford, Arizona",Stub
"Sahuarita, Arizona",Stub
"San Luis, Arizona",Stub
"Scottsdale, Arizona",Start
"Sedona, Arizona",Stub
"Show Low, Arizona",Stub
"Sierra Vista, Arizona",Stub
"Snowflake, Arizona",Start
"Somerton, Arizona",Stub
"South Tucson, Arizona",Stub
"Springerville, Arizona",Stub
"St. Johns, Arizona",Stub
"Star Valley, Arizona",Stub
"Superior, Arizona",Start
"Surprise, Arizona",Stub
"Taylor, Arizona",Stub
"Tempe, Arizona",Start
"Thatcher, Arizona",Stub
"Tolleson, Arizona",Start
"Tombstone, Arizona",Stub
"Tusayan, Arizona",Start
"Wellton, Arizona",Start
"Wickenburg, Arizona",Stub
"Willcox, Arizona",Stub
"Williams, Arizona",Stub
"Winkelman, Arizona",Stub
"Winslow, Arizona",Stub
"Youngtown, Arizona",Stub
"Yuma, Arizona",Start
"Alicia, Arkansas",Stub
"Allport, Arkansas",Stub
"Alma, Arkansas",Stub
"Almyra, Arkansas",Stub
"Alpena, Arkansas",Stub
"Altheimer, Arkansas",Stub
"Altus, Arkansas",Start
"Amagon, Arkansas",B
"Amity, Arkansas",Stub
"Antoine, Arkansas",Stub
"Arkadelphia, Arkansas",Start
"Arkansas City, Arkansas",Stub
"Ash Flat, Arkansas",Stub
"Ashdown, Arkansas",Stub
"Atkins, Arkansas",Start
"Aubrey, Arkansas",Stub
"Augusta, Arkansas",Start
"Austin, Arkansas",Stub
"Avoca, Arkansas",Start
"Bald Knob, Arkansas",Stub
"Banks, Arkansas",B
"Barling, Arkansas",Start
"Bassett, Arkansas",Stub
"Bauxite, Arkansas",Stub
"Bay, Arkansas",Start
"Bearden, Arkansas",Start
"Beaver, Arkansas",Stub
"Beebe, Arkansas",Stub
"Beedeville, Arkansas",Stub
"Bella Vista, Arkansas",Stub
"Bellefonte, Arkansas",Stub
"Belleville, Arkansas",Start
"Ben Lomond, Arkansas",Start
"Benton, Arkansas",Stub
"Bentonville, Arkansas",Stub
"Bergman, Arkansas",Start
"Berryville, Arkansas",Stub
"Bethel Heights, Arkansas",Stub
"Big Flat, Arkansas",B
"Bigelow, Arkansas",Start
"Biggers, Arkansas",Stub
"Birdsong, Arkansas",Stub
"Black Oak, Arkansas",Stub
"Black Rock, Arkansas",Start
"Black Springs, Arkansas",B
"Blevins, Arkansas",Start
"Blue Eye, Arkansas",Start
"Blue Mountain, Arkansas",Stub
"Bluff City, Arkansas",Start
"Blytheville, Arkansas",Stub
"Bodcaw, Arkansas",Start
"Bonanza, Arkansas",Start
"Bono, Arkansas",Stub
"Booneville, Arkansas",Stub
"Bradford, Arkansas",Start
"Bradley, Arkansas",Start
"Branch, Arkansas",Stub
"Briarcliff, Arkansas",B
"Brinkley, Arkansas",B
"Brookland, Arkansas",Stub
"Bryant, Arkansas",Start
"Buckner, Arkansas",Start
"Bull Shoals, Arkansas",Stub
"Burdette, Arkansas",Start
"Cabot, Arkansas",Stub
"Caddo Valley, Arkansas",Stub
"Caldwell, Arkansas",Stub
"Cale, Arkansas",Stub
"Calico Rock, Arkansas",Stub
"Calion, Arkansas",Stub
"Camden, Arkansas",B
"Cammack Village, Arkansas",Stub
"Campbell Station, Arkansas",Stub
"Caraway, Arkansas",Start
"Carlisle, Arkansas",Stub
"Carthage, Arkansas",Stub
"Casa, Arkansas",Stub
"Cash, Arkansas",Stub
"Caulksville, Arkansas",Stub
"Cave City, Arkansas",Start
"Cave Springs, Arkansas",Stub
"Cedarville, Arkansas",Stub
"Centerton, Arkansas",Stub
"Central City, Arkansas",Stub
"Charleston, Arkansas",Stub
"Cherokee Village, Arkansas",Stub
"Cherry Valley, Arkansas",Stub
"Chester, Arkansas",Stub
"Chidester, Arkansas",Stub
"Clarendon, Arkansas",Stub
"Clarkedale, Arkansas",Stub
"Clarksville, Arkansas",Stub
"Clinton, Arkansas",Stub
"Coal Hill, Arkansas",Start
"Colt, Arkansas",Start
